"Payment error","Greška pri plaćanju"
"Payment information:","Informacije o plačanju Informacije o plaćanju:"
"Order ID","Broj porudžbine"
"Authorization code","Autorizacijski kod"
"Unique Internet transaction ID","Jedinstvena internet ID transakcija"
"Response","Odgovor"
"Transaction status code","Kod statusa transakcije"
"Unique transaction ID","Jedinstvena ID transakcije"
"Transaction Date","Datum transakcije"
"There has been an error while processing your payment, please try again later.","Plaćanje nije uspešno, vaš račun nije zadužen, najčešći uzrok je pogrešno unet broj kartice, datum isteka ili sigurnosni kod, pokušaje ponovo, u slučaju uzastopnih greški pozovite vašu banku"
"You will receive an order confirmation email with details of your order and a link to track the progress.","Na Vaš e-mail ćete dobiti potvrdu porudžbine sa detaljima za praćenje."
"Your order has been received.","Vaša narudžbenica je uspešno primljena."
"Thank you for your purchase!","Zahvaljujemo se na kupovini!"
"Your order # is: ","Vaša porudžbina #"
"Name and Surname","Ime i Prezime"
"Address","Adresa"
"Post code","Poštanski broj"
"City","Grad"
"Country","Država"
"Billing information","Informacije o plaćanju"
"Payment failed #","Placanje neuspesno #"
"Payment successful #","Placanje uspesno #"